,HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Year
56,Balestier Khalsa,LC Sailors,1,2,3/7/17,2017
57,DPMM FC,Geylang Intl,0,1,24/7/17,2017
58,LC Sailors,Warriors FC,1,1,25/7/17,2017
59,Albirex Niigata,Balestier Khalsa,2,1,26/7/17,2017
60,Tampines Rovers,DPMM FC,2,0,28/7/17,2017
61,Balestier Khalsa,Hougang Utd.,0,0,29/7/17,2017
62,Warriors FC,Albirex Niigata,1,2,29/7/17,2017
63,Hougang Utd.,Warriors FC,0,1,4/8/17,2017
64,Albirex Niigata,Geylang Intl,5,0,5/8/17,2017
65,Balestier Khalsa,Warriors FC,2,2,17/8/17,2017
66,Hougang Utd.,Geylang Intl,0,1,18/8/17,2017
67,Albirex Niigata,Tampines Rovers,4,0,19/8/17,2017
68,Balestier Khalsa,DPMM FC,2,2,21/8/17,2017
69,Young Lions,Albirex Niigata,0,1,8/9/17,2017
70,DPMM FC,LC Sailors,1,4,8/9/17,2017
71,Geylang Intl,Balestier Khalsa,2,0,9/9/17,2017
72,Tampines Rovers,Hougang Utd.,5,1,9/9/17,2017
73,Young Lions,Tampines Rovers,0,4,12/9/17,2017
74,Warriors FC,Geylang Intl,0,2,15/9/17,2017
75,Hougang Utd.,Young Lions,2,1,15/9/17,2017
76,DPMM FC,Albirex Niigata,0,1,16/9/17,2017
77,Balestier Khalsa,Tampines Rovers,0,1,17/9/17,2017
78,LC Sailors,Albirex Niigata,1,1,19/9/17,2017
79,DPMM FC,Hougang Utd.,1,4,19/9/17,2017
80,Tampines Rovers,Warriors FC,1,1,20/9/17,2017
81,Young Lions,Balestier Khalsa,0,1,20/9/17,2017
82,Geylang Intl,LC Sailors,1,3,23/9/17,2017
83,Hougang Utd.,DPMM FC,1,2,23/9/17,2017
84,DPMM FC,Young Lions,7,1,7/10/17,2017
85,Warriors FC,Young Lions,0,1,14/10/17,2017
86,Geylang Intl,Tampines Rovers,2,3,15/10/17,2017
87,Hougang Utd.,LC Sailors,0,2,15/10/17,2017
88,DPMM FC,Balestier Khalsa,1,4,16/10/17,2017
89,Albirex Niigata,Hougang Utd.,1,0,19/10/17,2017
90,LC Sailors,Balestier Khalsa,2,0,20/10/17,2017
91,Young Lions,Geylang Intl,0,4,21/10/17,2017
92,DPMM FC,Warriors FC,3,2,21/10/17,2017
93,LC Sailors,Tampines Rovers,0,2,23/10/17,2017
94,Young Lions,Hougang Utd.,0,1,24/10/17,2017
95,Balestier Khalsa,Albirex Niigata,0,3,26/10/17,2017
96,Warriors FC,LC Sailors,2,1,27/10/17,2017
97,Geylang Intl,DPMM FC,4,1,27/10/17,2017
98,Tampines Rovers,Young Lions,3,0,28/10/17,2017
99,LC Sailors,Young Lions,4,0,31/10/17,2017
100,Hougang Utd.,Balestier Khalsa,0,1,2/11/17,2017
101,Albirex Niigata,Warriors FC,5,1,3/11/17,2017
102,DPMM FC,Tampines Rovers,0,5,3/11/17,2017
103,LC Sailors,Geylang Intl,2,1,4/11/17,2017
104,Warriors FC,Hougang Utd.,1,1,17/11/17,2017
105,Geylang Intl,Albirex Niigata,2,7,17/11/17,2017
106,Young Lions,DPMM FC,1,2,18/11/17,2017
107,Tampines Rovers,LC Sailors,0,0,18/11/17,2017
0,Albirex Niigata,Tampines Rovers,2,1,14/7/18,2018
1,Young Lions,Hougang Utd.,2,0,14/7/18,2018
2,LC Sailors,Balestier Khalsa,3,1,15/7/18,2018
3,Geylang Intl,Warriors FC,1,1,15/7/18,2018
4,Tampines Rovers,Geylang Intl,3,1,7/4/18,2018
5,DPMM FC,LC Sailors,4,2,7/4/18,2018
6,Warriors FC,Young Lions,0,1,8/4/18,2018
7,Balestier Khalsa,Albirex Niigata,0,1,8/4/18,2018
8,Balestier Khalsa,Young Lions,3,1,11/4/18,2018
9,Albirex Niigata,DPMM FC,2,0,14/4/18,2018
10,Geylang Intl,Balestier Khalsa,0,1,14/4/18,2018
11,Hougang Utd.,Warriors FC,1,1,15/4/18,2018
12,DPMM FC,Geylang Intl,4,1,17/4/18,2018
13,LC Sailors,Albirex Niigata,1,6,18/4/18,2018
14,Tampines Rovers,Hougang Utd.,4,0,18/4/18,2018
15,Warriors FC,Tampines Rovers,0,0,21/4/18,2018
16,Hougang Utd.,Balestier Khalsa,1,1,22/4/18,2018
17,Geylang Intl,LC Sailors,1,4,22/4/18,2018
18,Albirex Niigata,Geylang Intl,5,0,28/4/18,2018
19,Balestier Khalsa,Warriors FC,2,1,29/4/18,2018
20,Tampines Rovers,Balestier Khalsa,1,0,2/5/18,2018
21,Warriors FC,DPMM FC,2,2,2/5/18,2018
22,Hougang Utd.,LC Sailors,3,3,2/5/18,2018
23,LC Sailors,Warriors FC,3,3,5/5/18,2018
24,Albirex Niigata,Hougang Utd.,1,0,6/5/18,2018
25,Geylang Intl,Young Lions,1,1,9/5/18,2018
26,Hougang Utd.,Geylang Intl,1,3,12/5/18,2018
27,Balestier Khalsa,DPMM FC,1,2,13/5/18,2018
28,Warriors FC,Albirex Niigata,1,2,13/5/18,2018
29,Tampines Rovers,LC Sailors,1,0,26/6/18,2018
30,Young Lions,Albirex Niigata,1,3,16/5/18,2018
31,Hougang Utd.,Young Lions,1,2,19/5/18,2018
32,Balestier Khalsa,LC Sailors,2,1,19/5/18,2018
33,Warriors FC,Geylang Intl,0,2,20/5/18,2018
34,Tampines Rovers,Albirex Niigata,3,4,20/5/18,2018
35,Young Lions,DPMM FC,1,1,23/5/18,2018
36,LC Sailors,DPMM FC,3,1,26/5/18,2018
37,Young Lions,Warriors FC,1,1,26/5/18,2018
38,Albirex Niigata,Balestier Khalsa,5,0,27/5/18,2018
39,Geylang Intl,Tampines Rovers,1,2,27/5/18,2018
40,Young Lions,Tampines Rovers,0,4,30/5/18,2018
41,Warriors FC,Hougang Utd.,2,0,2/6/18,2018
42,Balestier Khalsa,Geylang Intl,1,2,2/6/18,2018
43,Albirex Niigata,DPMM FC,5,0,3/6/18,2018
44,Tampines Rovers,Young Lions,3,1,3/6/18,2018
45,LC Sailors,Young Lions,4,1,6/6/18,2018
46,Albirex Niigata,LC Sailors,3,0,9/6/18,2018
47,Hougang Utd.,Tampines Rovers,0,2,9/6/18,2018
48,Geylang Intl,DPMM FC,2,6,10/6/18,2018
49,Young Lions,Balestier Khalsa,0,2,10/6/18,2018
50,Tampines Rovers,Warriors FC,2,3,17/6/18,2018
51,LC Sailors,Geylang Intl,2,0,17/6/18,2018
52,Balestier Khalsa,Hougang Utd.,0,1,17/6/18,2018
53,Warriors FC,Balestier Khalsa,3,0,23/6/18,2018
54,Young Lions,LC Sailors,1,1,23/6/18,2018
55,Geylang Intl,Albirex Niigata,0,3,24/6/18,2018
56,Hougang Utd.,DPMM FC,1,1,24/6/18,2018
57,Balestier Khalsa,Tampines Rovers,2,5,30/6/18,2018
58,DPMM FC,Warriors FC,2,1,30/6/18,2018
59,LC Sailors,Hougang Utd.,1,0,1/7/18,2018
60,Young Lions,Geylang Intl,1,3,4/7/18,2018
61,Tampines Rovers,DPMM FC,0,2,4/7/18,2018
62,Hougang Utd.,Albirex Niigata,1,2,4/7/18,2018
63,Warriors FC,LC Sailors,0,2,4/7/18,2018
64,DPMM FC,Balestier Khalsa,2,2,7/7/18,2018
65,LC Sailors,Tampines Rovers,0,0,8/7/18,2018
66,Albirex Niigata,Warriors FC,2,0,8/7/18,2018
67,LC Sailors,Young Lions,2,0,11/7/18,2018
68,DPMM FC,Hougang Utd.,3,2,11/7/18,2018
69,Young Lions,Hougang Utd.,3,0,14/7/18,2018
70,Albirex Niigata,Tampines Rovers,2,1,14/7/18,2018
71,LC Sailors,Balestier Khalsa,1,1,15/7/18,2018
72,Geylang Intl,Warriors FC,0,1,15/7/18,2018
73,Albirex Niigata,Young Lions,5,1,18/7/18,2018
74,DPMM FC,Tampines Rovers,1,1,18/7/18,2018
75,Tampines Rovers,Geylang Intl,4,1,21/7/18,2018
76,DPMM FC,LC Sailors,1,2,21/7/18,2018
77,Warriors FC,Young Lions,1,0,22/7/18,2018
78,Balestier Khalsa,Albirex Niigata,1,1,22/7/18,2018
79,Hougang Utd.,Warriors FC,1,2,1/8/18,2018
80,Young Lions,Tampines Rovers,2,1,1/8/18,2018
81,Geylang Intl,Balestier Khalsa,1,0,1/8/18,2018
82,Geylang Intl,Hougang Utd.,0,3,5/8/18,2018
83,DPMM FC,Albirex Niigata,1,3,7/8/18,2018
84,DPMM FC,Geylang Intl,2,2,11/8/18,2018
85,Balestier Khalsa,Young Lions,1,0,12/8/18,2018
86,LC Sailors,Albirex Niigata,1,1,12/8/18,2018
87,Tampines Rovers,Hougang Utd.,1,0,12/8/18,2018
88,Warriors FC,Tampines Rovers,2,1,15/8/18,2018
89,Geylang Intl,LC Sailors,1,5,15/8/18,2018
90,Hougang Utd.,Balestier Khalsa,1,2,15/8/18,2018
91,Young Lions,DPMM FC,1,1,15/8/18,2018
92,Albirex Niigata,Geylang Intl,4,0,18/8/18,2018
93,DPMM FC,Hougang Utd.,3,1,18/8/18,2018
94,Balestier Khalsa,Warriors FC,2,2,19/8/18,2018
95,Young Lions,Albirex Niigata,1,3,15/9/18,2018
96,Warriors FC,DPMM FC,1,2,15/9/18,2018
97,Tampines Rovers,Balestier Khalsa,1,0,15/9/18,2018
98,Hougang Utd.,LC Sailors,1,2,15/9/18,2018
99,Geylang Intl,Young Lions,2,2,22/9/18,2018
100,DPMM FC,Tampines Rovers,2,1,22/9/18,2018
101,Albirex Niigata,Hougang Utd.,2,2,23/9/18,2018
102,LC Sailors,Warriors FC,4,3,23/9/18,2018
103,Balestier Khalsa,DPMM FC,0,0,29/9/18,2018
104,Hougang Utd.,Geylang Intl,1,1,29/9/18,2018
105,Warriors FC,Albirex Niigata,1,2,29/9/18,2018
106,Tampines Rovers,LC Sailors,1,1,29/9/18,2018
107,DPMM FC,Young Lions,3,1,9/10/18,2018
0,Young Lions,Balestier Khalsa,1,4,2/3/19,2019
1,Geylang Intl,Albirex Niigata,1,0,2/3/19,2019
2,Hougang Utd.,Tampines Rovers,1,5,3/3/19,2019
3,LC Sailors,DPMM FC,0,1,3/3/19,2019
4,Tampines Rovers,LC Sailors,5,1,8/3/19,2019
5,Balestier Khalsa,Hougang Utd.,0,1,9/3/19,2019
6,DPMM FC,Geylang Intl,3,0,9/3/19,2019
7,Warriors FC,Young Lions,2,0,17/5/19,2019
8,Albirex Niigata,DPMM FC,0,0,15/3/19,2019
9,Geylang Intl,Tampines Rovers,0,1,16/3/19,2019
10,Hougang Utd.,Warriors FC,5,1,16/3/19,2019
11,LC Sailors,Balestier Khalsa,0,0,17/3/19,2019
12,Tampines Rovers,Albirex Niigata,0,0,29/3/19,2019
13,Warriors FC,LC Sailors,0,3,30/3/19,2019
14,Balestier Khalsa,Geylang Intl,3,0,31/3/19,2019
15,Young Lions,Hougang Utd.,2,1,31/3/19,2019
16,Geylang Intl,Warriors FC,5,2,5/4/19,2019
17,Albirex Niigata,Balestier Khalsa,2,1,6/4/19,2019
18,LC Sailors,Young Lions,2,1,6/4/19,2019
19,DPMM FC,Tampines Rovers,2,1,7/4/19,2019
20,Hougang Utd.,LC Sailors,1,0,12/4/19,2019
21,Warriors FC,Albirex Niigata,1,2,13/4/19,2019
22,Balestier Khalsa,DPMM FC,1,7,13/4/19,2019
23,Young Lions,Geylang Intl,0,1,14/4/19,2019
24,Hougang Utd.,Geylang Intl,4,1,20/4/19,2019
25,DPMM FC,Warriors FC,4,2,20/4/19,2019
26,Albirex Niigata,Young Lions,2,1,21/4/19,2019
27,Balestier Khalsa,Tampines Rovers,1,1,21/4/19,2019
28,Hougang Utd.,Albirex Niigata,4,2,24/4/19,2019
29,Warriors FC,Tampines Rovers,1,1,24/4/19,2019
30,LC Sailors,Geylang Intl,3,0,24/4/19,2019
31,DPMM FC,Young Lions,0,0,24/4/19,2019
32,Albirex Niigata,LC Sailors,4,0,27/4/19,2019
33,Balestier Khalsa,Warriors FC,2,1,28/4/19,2019
34,DPMM FC,Hougang Utd.,3,2,28/4/19,2019
35,Tampines Rovers,Young Lions,4,0,29/5/19,2019
36,Balestier Khalsa,Young Lions,0,1,3/5/19,2019
37,DPMM FC,LC Sailors,2,0,4/5/19,2019
38,Albirex Niigata,Geylang Intl,2,0,5/5/19,2019
39,Tampines Rovers,Hougang Utd.,3,3,5/5/19,2019
40,Geylang Intl,DPMM FC,1,3,11/5/19,2019
41,Young Lions,Warriors FC,0,2,11/5/19,2019
42,Hougang Utd.,Balestier Khalsa,1,0,12/5/19,2019
43,LC Sailors,Tampines Rovers,2,4,23/7/19,2019
44,Albirex Niigata,DPMM FC,0,0,24/5/19,2019
45,Warriors FC,Hougang Utd.,3,2,25/5/19,2019
46,Tampines Rovers,Geylang Intl,1,1,25/5/19,2019
47,Balestier Khalsa,LC Sailors,2,4,26/5/19,2019
48,Albirex Niigata,Tampines Rovers,3,1,15/6/19,2019
49,LC Sailors,Warriors FC,4,4,15/6/19,2019
50,Geylang Intl,Balestier Khalsa,5,0,16/6/19,2019
51,Young Lions,DPMM FC,1,1,7/8/19,2019
52,Balestier Khalsa,Albirex Niigata,1,3,21/6/19,2019
53,Tampines Rovers,DPMM FC,3,1,22/6/19,2019
54,Warriors FC,Geylang Intl,1,2,23/6/19,2019
55,DPMM FC,Balestier Khalsa,2,1,28/6/19,2019
56,Geylang Intl,Young Lions,1,2,29/6/19,2019
57,LC Sailors,Hougang Utd.,0,2,29/6/19,2019
58,Albirex Niigata,Warriors FC,1,0,30/6/19,2019
59,Young Lions,LC Sailors,0,1,3/7/19,2019
60,Geylang Intl,Hougang Utd.,2,2,5/7/19,2019
61,Young Lions,Albirex Niigata,1,2,6/7/19,2019
62,Warriors FC,DPMM FC,3,3,6/7/19,2019
63,Tampines Rovers,Balestier Khalsa,4,2,7/7/19,2019
64,Hougang Utd.,Young Lions,0,1,10/7/19,2019
65,Geylang Intl,LC Sailors,2,3,12/7/19,2019
66,Albirex Niigata,Hougang Utd.,1,2,13/7/19,2019
67,Young Lions,DPMM FC,0,1,13/7/19,2019
68,Tampines Rovers,Warriors FC,1,2,14/7/19,2019
69,LC Sailors,Albirex Niigata,3,3,18/7/19,2019
70,Young Lions,Tampines Rovers,1,1,18/7/19,2019
71,Warriors FC,Balestier Khalsa,3,3,19/7/19,2019
72,Hougang Utd.,DPMM FC,3,1,19/7/19,2019
73,Geylang Intl,Albirex Niigata,1,0,26/7/19,2019
74,LC Sailors,DPMM FC,1,0,27/7/19,2019
75,Hougang Utd.,Tampines Rovers,2,4,27/7/19,2019
76,Young Lions,Balestier Khalsa,1,0,28/7/19,2019
77,DPMM FC,Geylang Intl,3,0,2/8/19,2019
78,Tampines Rovers,LC Sailors,3,0,3/8/19,2019
79,Warriors FC,Young Lions,2,0,3/8/19,2019
80,Balestier Khalsa,Hougang Utd.,3,4,4/8/19,2019
81,Hougang Utd.,Warriors FC,3,1,13/8/19,2019
82,LC Sailors,Balestier Khalsa,1,3,14/8/19,2019
83,Geylang Intl,Tampines Rovers,2,1,14/8/19,2019
84,DPMM FC,Albirex Niigata,2,0,10/9/19,2019
85,Warriors FC,LC Sailors,1,3,17/8/19,2019
86,Tampines Rovers,Albirex Niigata,2,0,18/8/19,2019
87,Balestier Khalsa,Geylang Intl,3,4,18/8/19,2019
88,Young Lions,Hougang Utd.,2,4,18/8/19,2019
89,Young Lions,Geylang Intl,1,2,30/8/19,2019
90,Warriors FC,Albirex Niigata,2,1,31/8/19,2019
91,Hougang Utd.,LC Sailors,2,0,1/9/19,2019
92,Balestier Khalsa,DPMM FC,1,4,1/9/19,2019
93,Tampines Rovers,Balestier Khalsa,3,3,14/9/19,2019
94,DPMM FC,Warriors FC,3,0,14/9/19,2019
95,Albirex Niigata,Young Lions,4,1,15/9/19,2019
96,Geylang Intl,Hougang Utd.,4,4,15/9/19,2019
97,Albirex Niigata,Balestier Khalsa,2,0,18/9/19,2019
98,Geylang Intl,Warriors FC,4,3,18/9/19,2019
99,LC Sailors,Young Lions,0,3,18/9/19,2019
100,DPMM FC,Tampines Rovers,0,1,18/9/19,2019
101,Hougang Utd.,Albirex Niigata,1,1,27/8/19,2019
102,LC Sailors,Geylang Intl,3,2,21/9/19,2019
103,Warriors FC,Tampines Rovers,0,1,22/9/19,2019
104,Balestier Khalsa,Warriors FC,3,3,29/9/19,2019
105,DPMM FC,Hougang Utd.,5,4,29/9/19,2019
106,Albirex Niigata,LC Sailors,1,0,29/9/19,2019
107,Tampines Rovers,Young Lions,1,1,29/9/19,2019
0,Albirex Niigata,Geylang Intl,4,0,29/2/20,2020
1,Young Lions,Hougang Utd.,1,4,1/3/20,2020
2,Tampines Rovers,Balestier Khalsa,1,0,1/3/20,2020
3,Tanjong Pagar,LC Sailors,1,1,6/3/20,2020
4,DPMM FC,Tampines Rovers,2,0,6/3/20,2020
5,Balestier Khalsa,Albirex Niigata,2,2,7/3/20,2020
6,Geylang Intl,Young Lions,3,0,11/3/20,2020
7,Young Lions,Balestier Khalsa,0,2,14/3/20,2020
8,Tampines Rovers,Tanjong Pagar,2,0,14/3/20,2020
9,Hougang Utd.,Geylang Intl,1,2,15/3/20,2020
10,Balestier Khalsa,Hougang Utd.,2,2,18/3/20,2020
11,Tampines Rovers,LC Sailors,4,0,18/3/20,2020
12,Tanjong Pagar,Albirex Niigata,2,2,20/3/20,2020
