Position,PosSum,Age,TimePlayed,TeamStatus,CategoryN4,CategoryN3,CategoryN2,WinLose,PA%,Shots_PM,ShotsOT_PM,KeyPasses_PM,AerialsWon_PM,Touches_PM,TotalTackles_PM,Interceptions_PM,Clearances_PM,BlockedShots_PM,Fouls_PM,Dribbles_PM,Fouled_PM,Offsides_PM,Disp_PM,UnsTouchesRating_PM,Passes_PM,Crosses_PM,AccCrosses_PM,LB_PM,AccLB_PM,ThB_PM,AccThB_PM
FW,FW,30,90,1,0,0,0,1,81.8,0.056,0.033,0.011,0,0.467,0,0,0,0,0,0.033,0.011,0,0.022,0.011,0.244,0.056,0.011,0,0,0.011,0
Sub,SUB,26,14,1,0,0,0,1,75,0,0,0,0,0.122,0,0.011,0,0,0,0,0,0.011,0,0,0.044,0.022,0.011,0,0,0,0
Sub,SUB,20,14,1,0,0,0,1,81.3,0,0,0,0,0.222,0,0,0,0,0.011,0,0,0,0,0,0.178,0.011,0,0,0,0,0
Sub,SUB,23,14,1,0,0,0,1,60,0,0,0.011,0,0.189,0,0,0,0,0,0,0,0,0,0,0.111,0.067,0,0,0,0,0
Sub,SUB,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,2,2,2,1,0,52.2,0,0,0,0.022,0.4,0,0,0.011,0,0,0,0,0,0,0,0.256,0,0,0.233,0.111,0,0
DR,DF,39,90,2,2,2,1,0,86.4,0,0,0,0,0.411,0.011,0,0.044,0,0,0,0.011,0.011,0,0,0.244,0,0,0.022,0.022,0,0
DC,DF,28,90,2,2,2,1,0,80,0,0,0.011,0.044,0.522,0.056,0.011,0.111,0.044,0.011,0,0,0,0,0.011,0.222,0,0,0.033,0.022,0,0
DC,DF,28,90,2,2,2,1,0,75,0,0,0,0.011,0.233,0.011,0.022,0.078,0.011,0.022,0,0,0,0,0,0.089,0,0,0.033,0.011,0,0
DL,DF,24,90,2,2,2,1,0,65.5,0.011,0,0,0,0.6,0.056,0.011,0.044,0.011,0.022,0,0.011,0,0,0,0.322,0.011,0,0.067,0.022,0,0
MR,MD,26,45,2,2,2,1,0,75,0,0,0.011,0.022,0.178,0,0,0,0,0.011,0,0,0.011,0,0.044,0.089,0,0,0,0,0,0
MC,MD,28,91,2,2,2,1,0,84.6,0.022,0,0.022,0,0.433,0.011,0,0.011,0.011,0.011,0,0.011,0,0.011,0.011,0.289,0.022,0,0.033,0.011,0,0
MC,MD,23,90,2,2,2,1,0,80.8,0.011,0,0.022,0.011,0.644,0.033,0.011,0.033,0.011,0.022,0.056,0.022,0.011,0.011,0.044,0.289,0.011,0,0.022,0,0,0
MC,MD,30,90,2,2,2,1,0,90,0,0,0,0.011,0.522,0.044,0.022,0.044,0,0.022,0.011,0,0,0.011,0.022,0.333,0,0,0.033,0.033,0,0
ML,MD,25,90,2,2,2,1,0,61.1,0.033,0.022,0.011,0,0.5,0.022,0,0.011,0,0,0,0.022,0,0.022,0.011,0.2,0.1,0.022,0.056,0.011,0,0
FW,FW,36,77,2,2,2,1,0,40,0.033,0.022,0.011,0.078,0.233,0,0,0,0,0.022,0,0,0,0,0.011,0.167,0,0,0,0,0,0
Sub,SUB,28,45,2,2,2,1,0,71.4,0.011,0.011,0,0,0.2,0,0.033,0,0,0.011,0,0,0.011,0,0,0.078,0.033,0,0.011,0,0,0
Sub,SUB,31,-1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,13,2,2,2,1,0,33.3,0,0,0,0.011,0.122,0,0,0.011,0,0,0.011,0,0,0.022,0.011,0.033,0,0,0,0,0,0
Sub,SUB,31,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,26,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,30,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,1,0,0,0,1,57.9,0,0,0,0.022,0.533,0,0.011,0.011,0,0,0,0.011,0,0,0,0.422,0,0,0.289,0.111,0,0
DR,DF,22,90,1,0,0,0,1,88.9,0.022,0.022,0,0.011,0.833,0.022,0,0,0,0,0.022,0,0.011,0.033,0.011,0.5,0,0,0.022,0.022,0,0
DC,DF,31,90,1,0,0,0,1,93.6,0,0,0,0.056,0.911,0.022,0.011,0.122,0.011,0.022,0,0.011,0,0,0,0.689,0,0,0.056,0.056,0,0
DC,DF,33,36,1,0,0,0,1,93.5,0,0,0,0.011,0.544,0.011,0,0.011,0.011,0,0,0,0,0,0,0.511,0,0,0.044,0.022,0,0
DL,DF,26,90,1,0,0,0,1,92.1,0,0,0.022,0,0.567,0,0.011,0.011,0,0.011,0.011,0,0,0,0.033,0.422,0,0,0.022,0.022,0,0
MC,MD,27,58,1,0,0,0,1,100,0.022,0,0,0,0.489,0.033,0,0,0,0,0.011,0,0.011,0.033,0.044,0.3,0,0,0,0,0,0
MC,MD,20,90,1,0,0,0,1,83.1,0,0,0.011,0.011,0.778,0.011,0,0.011,0,0.022,0,0.022,0,0.022,0.022,0.656,0,0,0.033,0.011,0,0
MC,MD,27,90,1,0,0,0,1,85.4,0.011,0.011,0,0.033,1.011,0,0.033,0.011,0,0.011,0,0.022,0,0,0,0.911,0,0,0.111,0.067,0,0
AMC,MD,31,90,1,0,0,0,1,94,0.011,0,0,0.011,0.722,0,0,0,0,0,0.011,0.033,0,0.022,0.022,0.556,0.022,0,0.022,0.022,0,0
FW,FW,28,77,1,0,0,0,1,81.5,0,0,0.022,0,0.456,0.011,0.011,0,0,0.022,0.022,0.022,0,0.022,0.033,0.3,0.022,0.011,0.011,0,0,0
FW,FW,30,90,1,0,0,0,1,68.4,0.033,0.022,0.011,0,0.344,0,0,0,0,0,0,0.011,0,0.011,0.011,0.211,0.011,0,0,0,0,0
Sub,SUB,23,13,1,0,0,0,1,66.7,0.011,0.011,0.011,0,0.067,0.011,0,0,0,0,0,0,0,0,0,0.033,0,0,0.011,0.011,0,0
Sub,SUB,36,54,1,0,0,0,1,82.5,0,0,0,0.022,0.533,0.033,0,0.011,0,0.011,0.011,0.011,0,0,0.011,0.444,0,0,0.089,0.044,0,0
Sub,SUB,23,32,1,0,0,0,1,88.2,0.011,0,0,0.011,0.278,0.033,0.011,0.011,0,0.011,0,0.011,0,0,0,0.189,0,0,0.022,0.022,0,0
Sub,SUB,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,32,90,2,1,1,1,0,69.2,0,0,0,0,0.367,0,0,0,0,0,0,0,0,0,0,0.289,0,0,0.244,0.156,0,0
DR,DF,34,82,2,1,1,1,0,80,0.011,0,0,0,0.578,0.022,0.022,0,0,0.011,0.011,0,0,0,0,0.389,0.022,0.022,0.067,0.022,0,0
DC,DF,29,90,2,1,1,1,0,83.3,0,0,0.011,0.033,0.389,0.033,0.011,0.022,0,0.022,0.011,0,0,0.011,0,0.267,0,0,0.044,0.011,0,0
DC,DF,30,90,2,1,1,1,0,77.8,0,0,0.011,0.067,0.733,0.022,0.011,0.056,0,0.022,0.011,0,0,0,0.011,0.6,0,0,0.111,0.044,0,0
DC,DF,27,90,2,1,1,1,0,61.5,0,0,0,0.044,0.411,0,0.022,0.022,0.033,0.011,0,0.022,0,0,0.011,0.289,0,0,0.089,0.056,0,0
DL,DF,26,90,2,1,1,1,0,72.4,0.011,0,0,0.011,0.644,0.033,0.011,0,0.011,0,0.011,0,0,0,0.011,0.322,0.067,0.011,0.033,0.011,0,0
MC,MD,27,90,2,1,1,1,0,87.1,0,0,0,0,0.478,0.022,0.011,0,0,0.011,0,0.022,0.011,0.022,0.011,0.344,0,0,0.022,0.011,0,0
MC,MD,29,90,2,1,1,1,0,70.8,0.011,0.011,0,0.011,0.689,0.011,0.033,0.011,0,0.011,0,0.011,0,0,0,0.533,0.056,0,0.067,0.011,0,0
MC,MD,30,90,2,1,1,1,0,91.7,0.011,0,0,0,0.544,0.022,0.011,0.011,0,0,0.022,0,0,0.033,0,0.4,0,0,0.044,0.044,0,0
FW,FW,28,76,2,1,1,1,0,65.4,0,0,0.011,0.056,0.411,0.011,0,0.011,0,0.022,0,0.022,0.011,0.022,0.044,0.289,0,0,0,0,0.011,0
FW,FW,30,76,2,1,1,1,0,66.7,0.033,0.011,0.011,0.011,0.278,0.011,0,0,0,0.033,0.011,0.022,0.011,0.022,0.011,0.133,0,0,0.011,0.011,0.011,0.011
Sub,SUB,27,14,2,1,1,1,0,100,0,0,0,0,0.067,0,0,0,0,0.011,0,0,0.011,0.011,0,0.022,0,0,0,0,0,0
Sub,SUB,30,8,2,1,1,1,0,66.7,0,0,0,0,0.067,0,0.011,0,0,0,0,0,0,0,0,0.033,0,0,0.011,0,0,0
Sub,SUB,30,14,2,1,1,1,0,60,0,0,0,0.022,0.067,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0
Sub,SUB,33,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,1,0,0,0,1,82.1,0,0,0,0.011,0.389,0,0,0.011,0,0,0,0,0,0,0,0.311,0,0,0.089,0.033,0,0
DR,DF,36,59,1,0,0,0,1,88.9,0,0,0,0,0.533,0,0,0.011,0.011,0.022,0,0.011,0,0.022,0,0.3,0.033,0,0,0,0,0
DC,DF,27,90,1,0,0,0,1,85.9,0.022,0,0,0.056,0.878,0.033,0.011,0.067,0.022,0.022,0,0,0,0,0,0.711,0,0,0.022,0.011,0,0
DC,DF,33,90,1,0,0,0,1,97.1,0,0,0,0.022,0.856,0,0.022,0.033,0.011,0.022,0,0,0,0,0.011,0.756,0,0,0.022,0.011,0,0
DL,DF,26,90,1,0,0,0,1,76.7,0.011,0,0.011,0.011,0.589,0.011,0.022,0.056,0,0.011,0,0.022,0,0.011,0.022,0.333,0,0,0,0,0,0
MC,MD,27,45,1,0,0,0,1,88.6,0.011,0,0,0,0.622,0.033,0,0.033,0.022,0,0,0,0,0,0,0.489,0,0,0.011,0.011,0,0
MC,MD,20,90,1,0,0,0,1,88,0.022,0,0.022,0,1.133,0,0.011,0.033,0.011,0,0.033,0.022,0,0.033,0.022,0.922,0,0,0.056,0.033,0,0
MC,MD,23,90,1,0,0,0,1,87.5,0.011,0,0.011,0,0.767,0.011,0.011,0,0.011,0.011,0.011,0.011,0,0.033,0.022,0.533,0.033,0.011,0.022,0.011,0,0
AMC,MD,31,75,1,0,0,0,1,87.9,0,0,0.022,0,0.811,0.022,0,0,0,0,0,0.011,0,0,0,0.733,0.033,0.011,0.022,0.022,0,0
FW,FW,28,90,1,0,0,0,1,72,0.033,0.011,0.022,0,0.8,0.011,0,0.022,0,0.044,0.022,0.022,0,0,0.067,0.556,0.011,0,0,0,0,0
FW,FW,30,90,1,0,0,0,1,88.2,0.022,0.022,0.033,0,0.578,0.011,0,0.011,0,0.011,0,0.011,0,0.033,0.022,0.378,0.011,0,0.011,0.011,0,0
Sub,SUB,23,45,1,0,0,0,1,82.6,0.011,0.011,0.011,0,0.378,0,0,0,0,0,0.011,0.011,0,0.022,0.022,0.256,0,0,0.011,0,0,0
Sub,SUB,27,31,1,0,0,0,1,70,0,0,0,0,0.167,0.011,0,0,0,0.011,0,0,0,0.011,0.011,0.111,0,0,0.022,0,0,0
Sub,SUB,29,15,1,0,0,0,1,80,0.022,0,0.011,0,0.222,0,0,0,0,0,0,0.011,0,0,0,0.167,0,0,0.011,0,0,0
Sub,SUB,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,29,90,2,2,2,1,0,57.1,0,0,0,0.011,0.378,0,0.011,0.011,0,0,0,0,0,0,0,0.311,0,0,0.311,0.178,0,0
DC,DF,31,90,2,2,2,1,0,71.4,0,0,0,0,0.344,0.033,0.011,0.056,0.033,0.011,0.011,0,0,0.011,0,0.156,0,0,0.033,0,0,0
DC,DF,33,90,2,2,2,1,0,58.3,0,0,0,0.011,0.489,0.033,0.011,0.033,0.022,0.022,0,0,0,0,0,0.267,0,0,0.067,0.022,0,0
DC,DF,35,90,2,2,2,1,0,86.7,0.011,0,0,0.033,0.389,0.011,0.044,0.1,0,0.011,0,0,0,0,0.011,0.167,0,0,0.022,0.011,0,0
DMR,MD,25,90,2,2,2,1,0,41.7,0.056,0,0.022,0.1,0.433,0,0,0.011,0,0.022,0,0.022,0,0,0.011,0.267,0.022,0.011,0.022,0,0,0
DML,MD,29,90,2,2,2,1,0,76.2,0.011,0,0,0.011,0.478,0,0,0.033,0,0,0,0.022,0,0.011,0,0.233,0.044,0.011,0.044,0.022,0,0
MC,MD,30,90,2,2,2,1,0,68.2,0.011,0,0,0.022,0.433,0.011,0,0.022,0.011,0.011,0,0.011,0,0,0.011,0.244,0,0,0.033,0.011,0,0
MC,MD,30,80,2,2,2,1,0,85,0.022,0,0.011,0,0.322,0.033,0,0,0,0.011,0,0,0,0,0,0.222,0,0,0.011,0.011,0,0
MC,MD,26,90,2,2,2,1,0,76.7,0.033,0,0.067,0,0.578,0.022,0.011,0,0,0.033,0.011,0.011,0,0,0.011,0.333,0.089,0.033,0.089,0.044,0,0
FW,FW,29,72,2,2,2,1,0,69.2,0.022,0,0.011,0.033,0.378,0,0,0,0,0,0.011,0.022,0,0.056,0.044,0.144,0,0,0.022,0.022,0,0
FW,FW,26,69,2,2,2,1,0,80,0.022,0,0,0.011,0.211,0.022,0.011,0.011,0,0.011,0,0.022,0,0.022,0.022,0.056,0,0,0,0,0,0
Sub,SUB,25,18,2,2,2,1,0,100,0.011,0.011,0.011,0,0.1,0,0,0,0,0,0,0,0,0,0,0.078,0,0,0.011,0.011,0,0
Sub,SUB,27,21,2,2,2,1,0,66.7,0.011,0.011,0.022,0,0.189,0.011,0.022,0,0,0,0.011,0,0.011,0,0.011,0.067,0.011,0.011,0,0,0,0
Sub,SUB,26,10,2,2,2,1,0,66.7,0,0,0.011,0,0.056,0,0,0,0,0,0,0,0,0,0.011,0.033,0.011,0.011,0,0,0,0
Sub,SUB,29,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,28,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,29,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,25,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GK,GK,27,90,1,0,0,0,1,56.3,0,0,0,0,0.456,0,0,0.011,0,0,0,0,0,0,0,0.356,0,0,0.2,0.044,0,0
DR,DF,24,71,1,0,0,0,1,81.6,0,0,0.011,0.022,0.656,0.022,0.033,0.033,0.011,0,0.022,0,0,0,0.011,0.422,0.011,0.011,0.044,0.033,0,0
DC,DF,34,90,1,0,0,0,1,84.4,0.022,0.022,0,0.011,0.6,0.011,0.033,0.144,0.011,0.011,0,0.011,0,0,0,0.356,0,0,0.022,0.011,0,0
DC,DF,31,90,1,0,0,0,1,92,0.011,0,0.011,0.022,0.689,0.044,0.011,0.056,0,0.022,0,0,0,0,0.011,0.556,0,0,0.111,0.067,0,0
DL,DF,26,90,1,0,0,0,1,65.5,0.011,0,0.022,0.011,0.656,0.056,0.011,0.033,0,0,0.011,0,0.011,0.011,0.011,0.322,0.033,0.033,0.022,0,0,0
DMC,DF,27,90,1,0,0,0,1,80.4,0,0,0.022,0.011,0.778,0.011,0.022,0.067,0,0.044,0.011,0.056,0,0.011,0,0.567,0.033,0.011,0.111,0.078,0,0
MC,MD,20,90,1,0,0,0,1,73.5,0,0,0,0,0.567,0.056,0.033,0.022,0,0.022,0,0.022,0,0,0.011,0.378,0.011,0,0.022,0.011,0,0
MC,MD,23,90,1,0,0,0,1,61.8,0,0,0.011,0.022,0.656,0.1,0,0.033,0,0.011,0,0.011,0,0.011,0.033,0.378,0.044,0.022,0.022,0,0,0
AMC,MD,29,66,1,0,0,0,1,76.5,0.022,0.011,0.011,0,0.344,0,0.022,0,0,0.011,0,0.011,0,0.033,0.022,0.189,0,0,0.022,0.022,0,0
FW,FW,28,67,1,0,0,0,1,73.3,0.033,0.011,0.011,0.022,0.433,0,0.033,0.011,0,0,0.033,0.033,0,0.022,0.033,0.167,0.011,0.011,0.011,0.011,0,0
FW,FW,30,90,1,0,0,0,1,50,0.033,0.011,0,0,0.267,0.033,0,0,0,0.022,0.011,0,0,0,0.011,0.089,0.011,0.011,0.011,0,0,0
Sub,SUB,27,19,1,0,0,0,1,70,0.011,0,0.011,0,0.156,0.011,0,0.011,0,0,0,0,0,0,0.011,0.111,0,0,0,0,0,0
Sub,SUB,23,23,1,0,0,0,1,66.7,0,0,0.011,0,0.111,0.011,0,0,0,0,0,0.011,0,0.011,0,0.033,0,0,0,0,0,0
Sub,SUB,22,24,1,0,0,0,1,100,0,0,0,0,0.133,0.033,0.022,0.011,0,0,0,0.011,0,0,0.011,0.022,0,0,0,0,0,0
Sub,SUB,37,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub,SUB,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
